,county,deductions_of_all_returns_in_thousands,dependent_exemptions_of_all_returns_in_thousands,income_class,income_class_sort_order,number_of_all_returns,ny_agi_of_all_returns_in_thousands,place_of_residence,place_of_residence_sort_order,resident_type,state,tax_before_credits_of_all_returns_in_thousands,tax_liability_of_all_returns_in_thousands,tax_year,taxable_income_of_all_returns_in_thousands,difference_in_rates,dual_status,expected_rate_per_100,medicaid_county_population,medicaid_ppv_events,observed_rate_per_100,patient_county,risk_adjusted_rate_per_100,year
0,Bronx,121985.033,1,"Under 5,000",1,115872,28535.362,New York City - Bronx,1,Full-Year Resident,New York,133.528,-7226.155,2014,3335.61,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
1,Bronx,121985.033,1,"Under 5,000",1,115872,28535.362,New York City - Bronx,1,Full-Year Resident,New York,133.528,-7226.155,2014,3335.61,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
2,Bronx,121985.033,1,"Under 5,000",1,115872,28535.362,New York City - Bronx,1,Full-Year Resident,New York,133.528,-7226.155,2014,3335.61,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
3,Bronx,453287.232,3907.523,"5,000 - 9,999",2,64472,497520.476,New York City - Bronx,1,Full-Year Resident,New York,1613.677,-24640.639,2014,40325.721,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
4,Bronx,453287.232,3907.523,"5,000 - 9,999",2,64472,497520.476,New York City - Bronx,1,Full-Year Resident,New York,1613.677,-24640.639,2014,40325.721,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
5,Bronx,453287.232,3907.523,"5,000 - 9,999",2,64472,497520.476,New York City - Bronx,1,Full-Year Resident,New York,1613.677,-24640.639,2014,40325.721,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
6,Bronx,1222947.457,87664.662,"10,000 - 19,999",3,125775,1848243.085,New York City - Bronx,1,Full-Year Resident,New York,21717.698,-83445.904,2014,537630.966,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
7,Bronx,1222947.457,87664.662,"10,000 - 19,999",3,125775,1848243.085,New York City - Bronx,1,Full-Year Resident,New York,21717.698,-83445.904,2014,537630.966,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
8,Bronx,1222947.457,87664.662,"10,000 - 19,999",3,125775,1848243.085,New York City - Bronx,1,Full-Year Resident,New York,21717.698,-83445.904,2014,537630.966,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
9,Bronx,867453.711,73712.451,"20,000 - 29,999",4,82181,2028682.259,New York City - Bronx,1,Full-Year Resident,New York,47154.276,-11812.793,2014,1087516.097,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
10,Bronx,867453.711,73712.451,"20,000 - 29,999",4,82181,2028682.259,New York City - Bronx,1,Full-Year Resident,New York,47154.276,-11812.793,2014,1087516.097,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
11,Bronx,867453.711,73712.451,"20,000 - 29,999",4,82181,2028682.259,New York City - Bronx,1,Full-Year Resident,New York,47154.276,-11812.793,2014,1087516.097,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
12,Bronx,713694.013,58814.362,"30,000 - 39,999",5,64824,2259143.529,New York City - Bronx,1,Full-Year Resident,New York,70580.685,38910.764,2014,1486635.154,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
13,Bronx,713694.013,58814.362,"30,000 - 39,999",5,64824,2259143.529,New York City - Bronx,1,Full-Year Resident,New York,70580.685,38910.764,2014,1486635.154,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
14,Bronx,713694.013,58814.362,"30,000 - 39,999",5,64824,2259143.529,New York City - Bronx,1,Full-Year Resident,New York,70580.685,38910.764,2014,1486635.154,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
15,Bronx,540553.628,39730.54,"40,000 - 49,999",6,47494,2124878.503,New York City - Bronx,1,Full-Year Resident,New York,79090.991,65028.73,2014,1544594.335,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
